GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Brooks,-0.2821816483444575,-0.27796512593397554,-0.2742289009169511,-0.27444636193071303,-0.2723441656120588,-0.2741784247524034,-0.2739256325486177,-0.2711085923498812,-0.27117859691024776,-0.2813383345675548,-0.27535704282205326,-0.29370835569899056,-0.31030868657558186,-0.3219394712387002,-0.32423788654455743,-0.32024332432861446,-0.31119622730934043,-0.305321462553153,-0.2983767807073473,-0.2738483916163958,-0.285261735232967,-0.1801795034329718,-0.3465822429784981,-0.21086119006931658,-0.296074954459127,-0.28161939921956636,-0.26476681134056657,-0.33123199428608807,-0.23509097263710235,-0.1766933030441261,-0.24383105727313298,-0.2564986365882795,-0.28102417387990475,-0.26056972761886904,-0.25765783268339115,-0.3674496077011091,-0.2819147398972024,-0.2727452553922701,-0.2830505477315176,-0.29585823518844484,-0.3020619685256137,-0.28848957311460277,-0.3022982994926762,-0.30307523960585225,-0.2989645212912968,-0.2930264428497968,-0.25941735016900974
Calgary,2.3383499788073023,2.2219193218019577,1.995562563755912,1.722606953771062,1.7242360499793428,2.1230677704790533,2.3422352267223165,2.230657205426585,2.086220273369325,2.3054871659578193,1.8642114591943346,1.7310323846455251,1.8177509239834306,1.750282358707767,1.5115013790879572,1.312448494737244,1.2200347972884873,1.2232433209729234,2.0123098515163194,1.6169934242086548,1.8741348951106787,1.66773525530106,2.1672072409628202,0.8499749847771618,1.9880906911344678,1.6787745458704353,2.0399842960792145,2.0316133678627564,1.050904910923095,0.5106569922004965,0.8619757728056037,1.592453628124618,0.251042631662815,2.1835063178440803,2.0151113860026926,2.901884608327367,1.4190861661932692,2.468452086199593,1.7027923264755342,1.7795388126196714,1.7805045370916972,1.7932010932783684,1.9245030622216297,1.9837895299100208,1.9222069637117416,2.0630343604693917,1.8019762713549208
Campbell River,-0.261658563322823,-0.2517105711866295,-0.24887491944070567,-0.25523272944728487,-0.24891990090728955,-0.2474864624912506,-0.24893751649464552,-0.24553178777867682,-0.24484022422180407,-0.2569697894530616,-0.23938846280391593,-0.24456627874842674,-0.23962796231443537,-0.2355845937263278,-0.23403043123527326,-0.23848216811802964,-0.24432235111703682,-0.25143470584189354,-0.24266730171828757,-0.24675622750994156,-0.2440185172255086,-0.18963809580776161,-0.27712353523314515,-0.2154877697887997,-0.2481144536079983,-0.24532512189336525,-0.24133369197297805,-0.25100061419396547,-0.2045290946960166,-0.1766933030441261,-0.21465547070804028,0.29520486175347216,-0.2725786690300203,-0.2373353666747971,-0.2294738476669412,-0.2812736908558679,-0.23220417095003268,-0.23964527079901243,-0.23544864614388614,-0.24060757723376974,-0.2508776794364003,-0.25701329904785586,-0.2639443592232923,-0.25558587445583336,-0.2577243843256643,-0.2544670915112794,-0.22898206011577157
Campbellton,-0.2997281027140992,-0.2942747735800541,-0.28683810026075235,-0.2824811536965103,-0.2766125871804835,-0.2813647222842522,-0.2868941484753627,-0.28605607554084483,-0.27885107938905523,-0.30013692651302104,-0.27389581925881645,-0.28183144574863256,-0.2955178660612425,-0.30304472880864264,-0.3031777802466701,-0.30277731882232856,-0.29095332424572423,-0.29330849131178943,-0.3074178476678614,-0.27627074981885524,-0.28134846102174527,-0.20383453644261798,-0.33767095187819657,-0.22146376859313202,-0.29631453235910143,-0.2785412260317012,-0.2734281668536499,-0.32085186437144575,-0.22947298036852043,-0.1766933030441261,-0.2362766643232429,-0.5050137259314108,-0.12055958173210038,-0.27419757394183425,-0.27254151016398837,-0.3554107034970575,-0.27067163868136435,-0.2783127643215508,-0.2724455671246529,-0.2853268153222621,-0.2991213989549587,-0.30865231095095313,-0.31181575874470857,-0.30937117816740783,-0.3020853965211284,-0.3025959169046113,-0.2604560972698029
Campbellton (New Brunswick part),-0.3011380856545169,-0.2962637550003076,-0.2881939281471826,-0.2835291700137882,-0.27796598914120346,-0.2825966590039977,-0.2884756748078926,-0.2877169070065075,-0.28079782867472286,-0.30236490778063185,-0.27580665007228,-0.28466447014046103,-0.2984275356706207,-0.3067351081895133,-0.30686329884880037,-0.3058148849973348,-0.29420664795237683,-0.2955394716851855,-0.30963122090715733,-0.2809242274183168,-0.2829205011532803,-0.203877296805976,-0.3410743895870581,-0.22146376859313202,-0.29856057517136164,-0.2806838759958034,-0.27479262696872464,-0.3237395696860455,-0.23149545758520992,-0.1766933030441261,-0.2370581532490936,-0.5099840277182734,-0.12055958173210038,-0.2744209812586042,-0.2747582280866305,-0.3599896029592823,-0.27404456904611574,-0.2788085014179936,-0.27539809013451866,-0.28792037394602354,-0.3014187189320329,-0.311004630365194,-0.3136624299428641,-0.3104504819208173,-0.30364583413604423,-0.3031588271431298,-0.26201421792099255
Campbellton (Quebec part),-0.31273127872017303,-0.30793244599912806,-0.30215895537741405,-0.2948244569888944,-0.2888973126700958,-0.2935814280883952,-0.2991246187802605,-0.29823550628903744,-0.29453958833825866,-0.3121123258264291,-0.2930041273934519,-0.3075465902283067,-0.3237659085189562,-0.33448676113366027,-0.33441693792186966,-0.3321404585140556,-0.32131767884114854,-0.32076671129204903,-0.32681299961220067,-0.310311257190259,-0.2958766117174603,-0.20499761832595562,-0.3662104657956345,-0.22435538091780896,-0.31513637112584164,-0.299122736954486,-0.28511506436102946,-0.3473094887403461,-0.24505354559338768,-0.1766933030441261,-0.25242743545749063,-0.6441821759635644,-0.28102417387990475,-0.2851445324635605,-0.2814083818545569,-0.3916817610349053,-0.2932381489788679,-0.28346080339999524,-0.29684907363476776,-0.3135415894413636,-0.32393245470736015,-0.325566607691447,-0.325878870176816,-0.3219630552905189,-0.31434597778118134,-0.31244684607868506,-0.2767644267522547
Camrose,-0.28468828468297774,-0.2798215085928788,-0.2769405566898116,-0.27188454426625597,-0.26713877345544346,-0.27048261459316686,-0.2760343343253242,-0.2752053099651824,-0.2738124341790921,-0.2835663158351656,-0.27108577394489947,-0.28335692042115557,-0.29721517333337977,-0.30333995915911227,-0.3010717696168813,-0.2918927066952228,-0.2761326273598623,-0.27014061820344537,-0.2934623418200969,-0.27875685428980046,-0.27456993935365853,-0.19692446172396502,-0.32765549205555455,-0.2174155113385843,-0.2887678285099073,-0.2741452728189656,-0.26452951392924917,-0.31164242580056006,-0.22303101590054647,-0.1756812535296555,-0.24252857573004846,-0.4801622169970977,-0.2641331641801359,-0.2652612812710374,-0.247840939025976,-0.3440406273043421,-0.2737233375828061,-0.26271611259500427,-0.2679866548240393,-0.2844622957810083,-0.29507811579530807,-0.29745078993075846,-0.29789469894322845,-0.293181621866265,-0.28937897594252815,-0.28289405855646377,-0.25931347545893046
Canmore,-0.29471483003705873,-0.29095980454629833,-0.28466877564246396,-0.27712462585264547,-0.26641001855351726,-0.2675054341871152,-0.2725549763937584,-0.27332303430409804,-0.27037699426320816,-0.29414922685631695,-0.27007415763188936,-0.28390173280419956,-0.29770011826827614,-0.3054065716123998,-0.3114263218800093,-0.3129025394056827,-0.306858462367137,-0.3070376013019192,-0.3068551256578709,-0.30310792885136645,-0.26886348175080815,-0.19157086423154326,-0.3391908076489477,-0.2031502238701781,-0.28814642333184864,-0.2802211440786734,-0.26702113674808137,-0.3101595500984683,-0.22205723057399226,-0.172392092607626,-0.2331507086198401,-0.6392118741767018,-0.2725786690300203,-0.22571818620276116,-0.247840939025976,-0.36976478158650367,-0.28103135337310087,-0.2481872023069499,-0.2822672253003288,-0.28854911543057177,-0.29902950615587576,-0.2982348964021721,-0.3000254734026387,-0.2946206935374777,-0.28469766309778066,-0.28514569951053775,-0.26035222255972357
Cape Breton,-0.195389365123194,-0.18023983881885416,-0.16928782250725063,-0.16894605265807117,-0.17135955777372014,-0.18989342084314784,-0.19674714752115932,-0.1882884632621717,-0.1673137967866894,-0.19068734674164006,-0.15295146894782966,-0.13636653947589933,-0.11463340534489501,-0.09490733172754001,-0.10117626067276718,-0.10913247516568021,-0.10587535337837582,-0.12547012168245264,-0.14989319967118675,-0.10683316818366598,-0.16381562574416714,-0.1963942332183258,-0.13026909516185003,-0.13432985054286703,-0.17931067545909524,-0.12847525342852262,-0.18616204384169371,-0.16007691982886543,-0.17891104995128293,-0.17306679228393973,-0.1539598308003028,0.5138981403754278,-0.16278710598152257,-0.2516334349480721,-0.10217090410949302,-0.0641618287144244,-0.11680176775603769,-0.2274043778791556,-0.09505316424618819,-0.12114669516960733,-0.14152524852766804,-0.16885732861892405,-0.19164007923397222,-0.20773674138801126,-0.2086820592854527,-0.20267934956757727,-0.14058468183827777
Centre Wellington,-0.2618152280939805,-0.2607272869584453,-0.25578964166149987,-0.2605892572911497,-0.25693620482847723,-0.2566233264960298,-0.26032450608886065,-0.26058999306735126,-0.2552610586333187,-0.26365373325589403,-0.25096584949725387,-0.2589493256607869,-0.27139185555014783,-0.2755883062149653,-0.2724651252289177,-0.27088287398476296,-0.2623963717095513,-0.26550704358177657,-0.2733168938624369,-0.26619883939810285,-0.25514779216282835,-0.1925458005161057,-0.2992328901204821,-0.2201143495082828,-0.2640463839562971,-0.2644077837802287,-0.23961328574092725,-0.2841702022670706,-0.22355536184561411,-0.1748378789342633,-0.24383105727313298,-0.5497464420131745,-0.25568765933025145,-0.2525270642151518,-0.24720759104807827,-0.3068949485209008,-0.2557343756374652,-0.23838686124650377,-0.2602136860837805,-0.2706299831209474,-0.2770671271750463,-0.2709031851128972,-0.26408641085391965,-0.2631410007297,-0.2648578134224224,-0.2550300017497979,-0.24518651488814414
Charlottetown,-0.20416259230801484,-0.1864719806023151,-0.18460867762391234,-0.1471706025101859,-0.1802087244399663,-0.19297326264251163,-0.19716888787650064,-0.19116723780265357,-0.18403293771065798,-0.1961180510814414,-0.1834123601506897,-0.19302702731246957,-0.2022872023274146,-0.1927761929082287,-0.188400200923184,-0.20025946041586767,-0.20094470169500203,-0.2061286428744652,-0.20567770826157855,-0.21851663057074333,-0.1756467901591753,-0.16752243587900345,-0.20078001074849222,-0.06936496031512522,-0.1952725530448908,-0.18448593418026538,-0.18266190702476276,-0.20159743948743472,-0.12864874578836982,-0.1752595662319594,-0.21621844855974168,0.2902345599666096,-0.22190563993071366,-0.2330906276561686,-0.13732171688281827,-0.19278260012523218,-0.18755299754999008,-0.21813790753795556,-0.17507256337071303,-0.16405830149002357,-0.18067158093701255,-0.18442744283699458,-0.19291854390961835,-0.20665743763460173,-0.201994469507242,-0.20830845195276226,-0.18192681644984363
Chatham-Kent,-0.15512651893571253,-0.15411788283285838,-0.14610316564929354,-0.16719935879594133,-0.1759403028715417,-0.17921663593868672,-0.17471121395457628,-0.17422675685289482,-0.16353481287921703,-0.1562928859228982,-0.15081583450925276,-0.13331559013085326,-0.11645194885075642,-0.10966884925102247,-0.10960030319192211,-0.11014499722401563,-0.11057459873242959,-0.12049331931103058,-0.12224479158032008,-0.08120716825238453,-0.17793033469275063,-0.17096892116565834,-0.12976247657159967,-0.20392132049009196,-0.15217099147761823,-0.15262784762481113,-0.15839824671756353,-0.1304194057870302,-0.17082114108452492,-0.15080170296558632,-0.21491596701665716,-0.47519191521023507,-0.1458960962817537,-0.21678189353196425,-0.19178964298202494,-0.050785268487700395,-0.11583807336610871,-0.1976601520925876,-0.13211034079858486,-0.12523351481917078,-0.1320602902221223,-0.14567018010712116,-0.16038872049595568,-0.17409844107341452,-0.1879505309729996,-0.1902953243201702,-0.14349317372049847
Chilliwack,-0.11376701935012848,-0.12083559373395,-0.12685040966198416,-0.1644046486165336,-0.15803375385278473,-0.15108741417116417,-0.14002306972775416,-0.15330028038554575,-0.14601406930820884,-0.12315166456718743,-0.1386764387531314,-0.14018022615720696,-0.13100029689764764,-0.1254636730011487,-0.10872279876284348,-0.1010322986989969,-0.10876719667317813,-0.12409721068343965,-0.08266667687765475,-0.12238725769419502,-0.1640031167690291,-0.14379043421531285,-0.12390388723306325,-0.19370429027623345,-0.13786369876352098,-0.1485034979286519,-0.13745675016880723,-0.12253675073906875,-0.13351767242114085,-0.17180173039085148,-0.16229571267604356,0.9661956029799269,-0.2050146302309448,-0.020406862091202585,-0.17848933544617215,-0.13392573512764655,-0.11744423068265701,-0.16825912891124925,-0.12873602878730972,-0.13097078086567332,-0.1384927861579301,-0.14365390632348612,-0.1473199704782397,-0.151253178292913,-0.15473550174121992,-0.14329231940387532,-0.12116011105344657
Cobourg,-0.2903282164446483,-0.2852580578082383,-0.2774828878443837,-0.2763095020503182,-0.27151130286700037,-0.2739731019657791,-0.2777212957466894,-0.27852697289650763,-0.27392694884295493,-0.29066800612567506,-0.27108577394489947,-0.27747294668428096,-0.28606143983076315,-0.28680705953281194,-0.2745711358587064,-0.2693640908972598,-0.2515519593540426,-0.24457015084682865,-0.28734742931153345,-0.28245413786197543,-0.26998842789998,-0.19579558813131379,-0.324940536020623,-0.22281318767798125,-0.28392386284479953,-0.2699505073962866,-0.2648854600462252,-0.3007159732588313,-0.22033437961162713,-0.17053666849776322,-0.24435204989036677,-0.6491524777504271,-0.2303511447805981,-0.2353247008238678,-0.2573411586944423,-0.3421884881960265,-0.26256054423279546,-0.26027556073559355,-0.26744435467937006,-0.2790394004767799,-0.28791047746683657,-0.2914019685798534,-0.2933490467631533,-0.28976382664713485,-0.2873726990090649,-0.28430133415276,-0.25640498357670977
Collingwood,-0.2837482960560327,-0.27796512593397554,-0.27205957629866273,-0.2710694204639287,-0.2639114303183419,-0.26709478861386665,-0.2726604114825938,-0.2707764260567487,-0.26396417308689146,-0.28300932051826294,-0.2644540670040554,-0.2724606727602767,-0.2759988324316634,-0.2764739972663742,-0.27018361371331323,-0.2645546111201666,-0.25588972429624607,-0.2488604977187442,-0.28138257600563416,-0.27786440653099964,-0.26258974361119597,-0.19331548705654972,-0.3151718903829747,-0.2199215753533043,-0.2770060509830382,-0.2641060020951439,-0.2582411325293394,-0.2936918251962914,-0.21696358425047796,-0.1691029316855965,-0.2401841089524964,-0.6491524777504271,-0.23879664963048255,-0.22370752035183183,-0.23580732744591873,-0.33143579170608295,-0.2592679217338715,-0.2476151979649005,-0.2594906192242215,-0.2714159099766327,-0.28184555272736067,-0.28568919285955413,-0.28596236197053126,-0.28130928057876026,-0.27934759127521214,-0.2767020459327602,-0.2520422457533787
Corner Brook,-0.2810849949463549,-0.2733241692867174,-0.2616197015731499,-0.25826033214164323,-0.2588101460048588,-0.26226970312819675,-0.2658071307082976,-0.26025782677421877,-0.25365785333923957,-0.2771608696907846,-0.24736899149544014,-0.257859700894699,-0.2678760047721491,-0.26938846885510265,-0.26281257650905265,-0.2645546111201666,-0.2605889696502999,-0.27202837082708825,-0.27613050391238947,-0.26071666030832624,-0.25452762954213104,-0.20232937165241635,-0.2964399927639736,-0.21818660795849817,-0.2679694720683782,-0.257456745633775,-0.25029166925020807,-0.28229709611706,-0.23127073789446664,-0.1766933030441261,-0.15291784556583518,-0.6392118741767018,-0.17967811568129147,-0.2666017251716569,-0.25544111476074904,-0.3003610133332318,-0.2442503508241449,-0.2591696856742981,-0.24882538304572688,-0.25868389491453114,-0.266315669682339,-0.2737035653679458,-0.28567825870927654,-0.2847270757978904,-0.2755579570675594,-0.27248021914387144,-0.24071990235473376
Cornwall,-0.2210823875930265,-0.22081505979202531,-0.22135161334617182,-0.22553893379107773,-0.21373144992856946,-0.22130780719665843,-0.22964289523778092,-0.22781625214494217,-0.22147923279379314,-0.22201833331741705,-0.21522207310422992,-0.20697422431839455,-0.20434821830072417,-0.20709486490600668,-0.19752624698560184,-0.19671563321169372,-0.1807017986313858,-0.17970010614346535,-0.20230137620163555,-0.18434863066236806,-0.22755776673506245,-0.18760270251192077,-0.22760481559123652,-0.20237912725026425,-0.22259192045134862,-0.20735092652019196,-0.2183158430751949,-0.223528390660476,-0.1771881989889178,-0.15729568735010607,-0.15890926066402386,-0.5348355366525867,-0.07833205748267819,-0.22906929595430997,-0.13922176081651153,-0.23785131842757923,-0.18434068291689348,-0.24536531421950628,-0.19326974600294683,-0.20264731010417075,-0.20906645585364975,-0.2180320058975785,-0.22985196787272882,-0.24317388129162387,-0.24791591931762197,-0.2499638096031314,-0.20934973991078176
