GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Calgary,84655.0,95470.0,84790.0,86665.0,96745.0,117760.0,125330.0,114275.0,104035.0,94065.0,96040.0,93675.0,88445.0,70735.0,52690.0,32545.0,21365.0,45045.0,312050.0,151525.0,2258560.0,1094920.0,976430.0,27865.0,1539685.0,984175.0,196080.0,152595.0,86640.0,40750.0,21405.0,2255.0,315.0,55260.0,36290.0,320530.0,106820.0,360895.0,166180.0,133325.0,114630.0,94680.0,79280.0,64120.0,50195.0,42215.0,100140.0
Campbell River,1675.0,2195.0,2020.0,1740.0,1980.0,2305.0,2450.0,2455.0,2255.0,2055.0,2465.0,3020.0,3595.0,3470.0,2960.0,1910.0,1110.0,2080.0,11505.0,5340.0,55575.0,9000.0,35595.0,230.0,46255.0,27805.0,3805.0,6360.0,2840.0,0.0,740.0,950.0,5.0,1080.0,850.0,11175.0,4010.0,5815.0,5345.0,4805.0,4100.0,3165.0,2250.0,1875.0,1300.0,1045.0,2380.0
Campbellton,460.0,590.0,620.0,570.0,650.0,655.0,650.0,625.0,770.0,505.0,930.0,1310.0,1290.0,1185.0,990.0,640.0,465.0,860.0,2875.0,3025.0,16750.0,700.0,12290.0,75.0,14065.0,11295.0,1100.0,1885.0,1175.0,0.0,325.0,145.0,95.0,255.0,170.0,3970.0,1615.0,745.0,2275.0,1960.0,1475.0,860.0,565.0,380.0,305.0,190.0,865.0
Campbellton (New Brunswick part),415.0,515.0,570.0,525.0,585.0,595.0,575.0,550.0,685.0,425.0,845.0,1180.0,1170.0,1060.0,885.0,580.0,420.0,795.0,2580.0,2660.0,15115.0,675.0,10980.0,75.0,12565.0,10230.0,985.0,1700.0,1040.0,0.0,310.0,140.0,95.0,250.0,135.0,3525.0,1405.0,680.0,2030.0,1795.0,1350.0,755.0,500.0,350.0,270.0,180.0,790.0
Campbellton (Quebec part),45.0,75.0,55.0,40.0,60.0,60.0,70.0,75.0,85.0,75.0,80.0,130.0,125.0,120.0,100.0,60.0,45.0,60.0,290.0,355.0,1640.0,20.0,1305.0,0.0,1495.0,1065.0,115.0,190.0,135.0,0.0,15.0,5.0,0.0,10.0,30.0,445.0,210.0,70.0,250.0,165.0,125.0,105.0,70.0,30.0,30.0,15.0,80.0
Camrose,940.0,1135.0,985.0,1025.0,1105.0,1185.0,1165.0,1115.0,990.0,1100.0,1055.0,1240.0,1220.0,1175.0,1050.0,855.0,670.0,1535.0,4735.0,2830.0,23800.0,4740.0,16145.0,180.0,19105.0,13480.0,1850.0,2475.0,1605.0,60.0,205.0,170.0,10.0,455.0,560.0,5075.0,1425.0,2790.0,2645.0,2015.0,1695.0,1360.0,1055.0,830.0,590.0,540.0,920.0
Canmore,620.0,715.0,700.0,800.0,1140.0,1330.0,1330.0,1200.0,1140.0,720.0,1100.0,1215.0,1200.0,1105.0,755.0,440.0,245.0,460.0,2950.0,920.0,29735.0,7870.0,11705.0,550.0,19520.0,10460.0,1640.0,2570.0,1670.0,255.0,385.0,10.0,5.0,1340.0,560.0,2575.0,970.0,4695.0,1460.0,1755.0,1480.0,1325.0,980.0,790.0,695.0,500.0,870.0
Cape Breton,3790.0,4890.0,4955.0,5445.0,5705.0,5110.0,4925.0,5040.0,5640.0,4435.0,6310.0,7985.0,8750.0,8235.0,6745.0,4465.0,3025.0,5750.0,23870.0,16315.0,138990.0,5050.0,92120.0,2335.0,92205.0,85885.0,8455.0,12185.0,4550.0,215.0,1905.0,1170.0,70.0,760.0,2860.0,32275.0,11195.0,7420.0,16995.0,12405.0,10050.0,7100.0,4795.0,3205.0,2400.0,1965.0,6635.0
Centre Wellington,1670.0,1855.0,1765.0,1510.0,1595.0,1860.0,1910.0,1775.0,1800.0,1815.0,1950.0,2360.0,2285.0,2115.0,1865.0,1270.0,860.0,1670.0,7420.0,3815.0,44000.0,7300.0,27085.0,110.0,35615.0,18320.0,3950.0,4235.0,1570.0,110.0,180.0,100.0,15.0,740.0,570.0,8685.0,2545.0,5980.0,3290.0,2895.0,2675.0,2545.0,2245.0,1665.0,1140.0,1035.0,1600.0
Charlottetown,3510.0,4655.0,4390.0,6380.0,5280.0,4960.0,4905.0,4910.0,4910.0,4240.0,4955.0,5385.0,5135.0,4920.0,4260.0,2665.0,1710.0,3400.0,16435.0,7555.0,126685.0,21930.0,64980.0,4020.0,81545.0,58045.0,8750.0,9525.0,7905.0,85.0,710.0,945.0,35.0,1175.0,2305.0,19775.0,6790.0,8635.0,10355.0,9675.0,7920.0,6405.0,4750.0,3235.0,2550.0,1865.0,4645.0
Chatham-Kent,5075.0,5875.0,5810.0,5520.0,5485.0,5630.0,5970.0,5675.0,5805.0,5670.0,6405.0,8125.0,8675.0,7735.0,6505.0,4445.0,2960.0,5895.0,27555.0,18325.0,124310.0,19915.0,92315.0,530.0,110330.0,73880.0,10795.0,14085.0,5090.0,1535.0,735.0,175.0,80.0,1540.0,1445.0,33575.0,11255.0,11320.0,13920.0,12145.0,10565.0,8135.0,5895.0,4140.0,2865.0,2185.0,6495.0
Chilliwack,6395.0,7130.0,6520.0,5640.0,6345.0,7000.0,7615.0,6620.0,6570.0,6860.0,6945.0,7810.0,8075.0,7200.0,6530.0,4625.0,2985.0,5790.0,32830.0,15095.0,138795.0,35805.0,94570.0,795.0,119885.0,75930.0,12560.0,14590.0,7580.0,290.0,1745.0,1625.0,45.0,5935.0,1655.0,25495.0,11155.0,15175.0,14200.0,11780.0,10215.0,8225.0,6355.0,4775.0,3610.0,3020.0,7570.0
Cobourg,760.0,930.0,965.0,835.0,895.0,1015.0,1085.0,965.0,985.0,845.0,1055.0,1510.0,1680.0,1735.0,1805.0,1300.0,1010.0,2280.0,5550.0,2540.0,28565.0,5400.0,17190.0,40.0,22340.0,15565.0,1820.0,3175.0,1785.0,365.0,170.0,0.0,30.0,1125.0,410.0,5255.0,2120.0,3110.0,2690.0,2360.0,2085.0,1630.0,1215.0,925.0,635.0,515.0,1060.0
Collingwood,970.0,1205.0,1165.0,1060.0,1260.0,1350.0,1325.0,1315.0,1420.0,1120.0,1350.0,1740.0,2095.0,2085.0,1930.0,1395.0,950.0,2155.0,6345.0,2900.0,36260.0,6850.0,20950.0,115.0,26960.0,18470.0,2380.0,3625.0,2010.0,450.0,250.0,0.0,25.0,1385.0,750.0,6300.0,2325.0,4770.0,3350.0,2845.0,2415.0,1885.0,1475.0,1160.0,815.0,650.0,1270.0
Corner Brook,1055.0,1380.0,1550.0,1610.0,1505.0,1585.0,1650.0,1790.0,1870.0,1330.0,2110.0,2410.0,2430.0,2325.0,2140.0,1395.0,885.0,1480.0,7045.0,4245.0,44645.0,1580.0,28160.0,160.0,32995.0,21775.0,3050.0,4355.0,1055.0,0.0,1925.0,10.0,60.0,425.0,440.0,9320.0,3260.0,3255.0,4235.0,3655.0,3260.0,2420.0,1485.0,1065.0,900.0,725.0,1815.0
Cornwall,2970.0,3360.0,3035.0,3015.0,3670.0,3580.0,3365.0,3255.0,3275.0,3310.0,3540.0,4745.0,5050.0,4435.0,4000.0,2735.0,1990.0,4170.0,16885.0,10235.0,72695.0,10190.0,54655.0,570.0,63300.0,46680.0,5745.0,8120.0,4665.0,1150.0,1810.0,115.0,120.0,1265.0,2275.0,15395.0,6990.0,5065.0,8845.0,7220.0,6375.0,4905.0,3450.0,2220.0,1520.0,1125.0,3325.0
Courtenay,2435.0,3100.0,2855.0,2485.0,2815.0,3340.0,3840.0,3670.0,3550.0,3115.0,3590.0,4760.0,5405.0,5315.0,5035.0,3545.0,2245.0,4370.0,16315.0,6880.0,95855.0,17280.0,53470.0,550.0,72555.0,43560.0,5825.0,10240.0,3585.0,45.0,875.0,975.0,55.0,1710.0,2810.0,18145.0,6170.0,8555.0,8525.0,7510.0,6310.0,5055.0,3880.0,3015.0,2085.0,1540.0,3780.0
Cowansville,725.0,790.0,720.0,625.0,810.0,825.0,875.0,895.0,790.0,770.0,855.0,1055.0,1215.0,1140.0,1130.0,810.0,575.0,1275.0,3320.0,2895.0,19580.0,1040.0,13755.0,45.0,17030.0,11935.0,1255.0,2080.0,3120.0,5.0,550.0,35.0,60.0,80.0,330.0,2805.0,1655.0,990.0,2340.0,1875.0,1740.0,1170.0,780.0,545.0,360.0,200.0,660.0
Cranbrook,1125.0,1550.0,1430.0,1435.0,1510.0,1590.0,1615.0,1570.0,1540.0,1340.0,1730.0,2065.0,2150.0,2075.0,1650.0,1175.0,775.0,1430.0,7345.0,3380.0,37325.0,5200.0,23590.0,390.0,30465.0,18285.0,2720.0,4060.0,1300.0,0.0,255.0,850.0,50.0,530.0,510.0,7890.0,2440.0,4965.0,3335.0,2930.0,2450.0,2050.0,1530.0,1190.0,895.0,735.0,1645.0
Dawson Creek,1120.0,1085.0,1045.0,1115.0,1290.0,1370.0,1345.0,1075.0,1050.0,1215.0,1045.0,1230.0,1170.0,925.0,695.0,450.0,320.0,640.0,4415.0,3045.0,21610.0,3775.0,15415.0,445.0,18065.0,12715.0,1870.0,2045.0,1085.0,0.0,165.0,405.0,10.0,340.0,330.0,5215.0,1415.0,3600.0,1905.0,1695.0,1455.0,1240.0,1010.0,810.0,685.0,520.0,1045.0
Dolbeau-Mistassini,645.0,920.0,785.0,630.0,615.0,670.0,815.0,955.0,780.0,775.0,795.0,1260.0,1455.0,1270.0,1150.0,770.0,450.0,1105.0,2545.0,3045.0,23565.0,305.0,14515.0,85.0,18635.0,10635.0,1395.0,2355.0,1330.0,0.0,645.0,110.0,80.0,65.0,345.0,4385.0,1760.0,1235.0,2230.0,1730.0,1580.0,1215.0,885.0,610.0,455.0,300.0,810.0
Drummondville,5215.0,6060.0,5415.0,5185.0,5610.0,5940.0,6075.0,7225.0,5940.0,5720.0,5840.0,7250.0,7485.0,7125.0,6215.0,4260.0,2625.0,4835.0,18935.0,18380.0,149665.0,9105.0,93735.0,1130.0,119355.0,73530.0,9955.0,13375.0,13610.0,490.0,3545.0,480.0,170.0,820.0,2405.0,24180.0,10670.0,7600.0,14780.0,11305.0,11410.0,8920.0,6010.0,3820.0,2845.0,1695.0,4765.0
Duncan,1970.0,2520.0,2350.0,2035.0,2100.0,2510.0,2750.0,2620.0,2565.0,2445.0,2845.0,3670.0,4095.0,4035.0,3645.0,2340.0,1575.0,3020.0,12705.0,6660.0,64675.0,12650.0,40330.0,275.0,51960.0,34165.0,4400.0,7035.0,2940.0,10.0,925.0,825.0,85.0,1225.0,1155.0,12850.0,4895.0,5925.0,6330.0,5565.0,4670.0,3655.0,2590.0,2020.0,1480.0,1115.0,3275.0
Edmonton,83630.0,89160.0,80195.0,88185.0,99195.0,113995.0,116235.0,102840.0,90635.0,91040.0,85130.0,88310.0,85115.0,69870.0,52960.0,33995.0,23245.0,48790.0,326620.0,163530.0,2032930.0,877330.0,1008260.0,25580.0,1429530.0,986390.0,175655.0,146315.0,105235.0,30920.0,10955.0,6525.0,140.0,46405.0,38475.0,309965.0,99090.0,301345.0,160645.0,128455.0,111945.0,96120.0,82555.0,66815.0,52410.0,44640.0,85855.0
Edmundston,715.0,1030.0,1010.0,950.0,955.0,1010.0,1150.0,1265.0,1360.0,840.0,1415.0,1890.0,2155.0,2000.0,1755.0,1090.0,740.0,1650.0,5155.0,3895.0,30265.0,1740.0,19915.0,295.0,25755.0,16980.0,2010.0,3405.0,1725.0,125.0,615.0,355.0,40.0,260.0,340.0,6805.0,2520.0,1730.0,3460.0,2830.0,2525.0,1725.0,1075.0,820.0,635.0,330.0,1265.0
Elliot Lake,355.0,420.0,375.0,350.0,405.0,470.0,485.0,445.0,420.0,400.0,590.0,875.0,1240.0,1285.0,1320.0,910.0,590.0,860.0,3165.0,2545.0,13925.0,2405.0,10030.0,15.0,12260.0,9350.0,705.0,2015.0,880.0,575.0,50.0,0.0,0.0,605.0,1100.0,2625.0,1755.0,950.0,2445.0,1450.0,1080.0,705.0,475.0,330.0,200.0,145.0,720.0
Essa,1455.0,1550.0,1345.0,1220.0,1465.0,1825.0,1915.0,1545.0,1540.0,1615.0,1560.0,1795.0,1410.0,1015.0,800.0,480.0,250.0,360.0,6300.0,2850.0,28565.0,5810.0,20005.0,100.0,25800.0,13320.0,3365.0,2425.0,225.0,55.0,155.0,120.0,15.0,470.0,800.0,6110.0,1810.0,3660.0,2255.0,1895.0,1910.0,1690.0,1660.0,1365.0,975.0,710.0,1390.0
Estevan,760.0,840.0,775.0,655.0,810.0,950.0,945.0,905.0,805.0,825.0,750.0,920.0,830.0,695.0,460.0,350.0,230.0,590.0,3780.0,1985.0,14360.0,3585.0,11075.0,130.0,13740.0,8125.0,1525.0,1565.0,930.0,45.0,75.0,280.0,10.0,155.0,165.0,3680.0,850.0,3260.0,1205.0,1115.0,1105.0,875.0,745.0,595.0,515.0,405.0,730.0
Fort St. John,2085.0,2020.0,1730.0,1980.0,2520.0,2610.0,2465.0,2025.0,1755.0,2000.0,1675.0,1675.0,1470.0,1075.0,670.0,445.0,295.0,480.0,7770.0,4270.0,33855.0,7675.0,24685.0,720.0,29890.0,18695.0,3430.0,3060.0,1735.0,145.0,240.0,1105.0,15.0,920.0,1010.0,6425.0,1755.0,8095.0,2415.0,2160.0,2115.0,1845.0,1640.0,1345.0,1185.0,1085.0,1900.0
Fredericton,5020.0,6005.0,5995.0,7735.0,7225.0,7045.0,7345.0,7000.0,7010.0,6005.0,6950.0,7755.0,7160.0,6485.0,5550.0,3715.0,2480.0,4265.0,25825.0,10880.0,165545.0,23900.0,95865.0,1790.0,118460.0,75575.0,12020.0,14495.0,10120.0,415.0,2775.0,3345.0,190.0,1290.0,920.0,27300.0,9760.0,14470.0,13405.0,11855.0,10955.0,8350.0,6630.0,5180.0,4005.0,2760.0,6785.0
Gander,565.0,780.0,800.0,670.0,645.0,780.0,835.0,800.0,980.0,675.0,1070.0,980.0,960.0,805.0,775.0,505.0,405.0,760.0,3055.0,1825.0,19665.0,795.0,12695.0,80.0,15545.0,8590.0,1520.0,1965.0,595.0,15.0,480.0,50.0,0.0,285.0,355.0,3955.0,1360.0,2120.0,1655.0,1495.0,1275.0,930.0,715.0,560.0,420.0,395.0,820.0
Granby,4215.0,5225.0,4535.0,3965.0,4525.0,4915.0,5235.0,5755.0,5100.0,5005.0,5355.0,7185.0,7900.0,6865.0,5870.0,4150.0,2565.0,4945.0,18840.0,15680.0,130535.0,10465.0,83155.0,670.0,109330.0,64690.0,8565.0,13065.0,14470.0,520.0,2575.0,815.0,505.0,580.0,3125.0,18520.0,8915.0,9550.0,12740.0,10290.0,9865.0,7855.0,5595.0,3875.0,2710.0,1785.0,4240.0
Grand Falls-Windsor,545.0,760.0,725.0,675.0,620.0,680.0,755.0,850.0,890.0,625.0,990.0,1090.0,1180.0,1080.0,910.0,640.0,505.0,665.0,3300.0,2390.0,19220.0,610.0,13250.0,100.0,15570.0,9510.0,1425.0,2095.0,495.0,0.0,750.0,5.0,20.0,540.0,370.0,3950.0,1625.0,1550.0,2100.0,1675.0,1460.0,955.0,645.0,425.0,280.0,365.0,1005.0
Grande Prairie,4680.0,4505.0,3800.0,4115.0,5330.0,6050.0,6080.0,4860.0,4150.0,4790.0,3335.0,3480.0,3045.0,2295.0,1405.0,900.0,600.0,1440.0,16530.0,8750.0,77625.0,21575.0,53815.0,1000.0,64460.0,43180.0,7805.0,6140.0,4580.0,160.0,1105.0,835.0,5.0,1085.0,1755.0,15280.0,3490.0,14635.0,6205.0,5805.0,4905.0,4360.0,3730.0,3015.0,2540.0,2310.0,3325.0
Greater Sudbury / Grand Sudbury,7740.0,9385.0,9040.0,10675.0,10990.0,10585.0,10490.0,10410.0,10565.0,9215.0,10870.0,13300.0,12630.0,10680.0,8890.0,6215.0,4440.0,8950.0,38035.0,24465.0,246560.0,22740.0,154070.0,3560.0,182525.0,125415.0,18210.0,21820.0,12130.0,4790.0,4485.0,590.0,135.0,2935.0,3295.0,45025.0,15515.0,34605.0,18680.0,16605.0,16035.0,13620.0,10715.0,8060.0,5960.0,4930.0,9520.0
Guelph,8345.0,9345.0,9795.0,11725.0,12035.0,11945.0,11520.0,10565.0,10680.0,9245.0,10760.0,11435.0,10235.0,8355.0,7165.0,4995.0,3495.0,7890.0,37235.0,19065.0,246905.0,84675.0,123670.0,2715.0,173990.0,117850.0,20680.0,18195.0,7950.0,6510.0,3720.0,65.0,60.0,8935.0,2600.0,34325.0,14700.0,32970.0,18315.0,15420.0,14320.0,13135.0,10475.0,7690.0,6050.0,4870.0,10190.0
Halifax,21030.0,24195.0,23330.0,33365.0,36205.0,34790.0,32335.0,29970.0,29485.0,24120.0,30110.0,34180.0,31710.0,26525.0,22415.0,14655.0,9035.0,16480.0,100050.0,48640.0,756785.0,128070.0,392615.0,17040.0,496255.0,346310.0,49670.0,59965.0,41235.0,28325.0,6715.0,4800.0,215.0,7545.0,12855.0,99440.0,42110.0,71775.0,57700.0,49810.0,44225.0,35475.0,27905.0,21980.0,18695.0,13835.0,30610.0
Hamilton,39045.0,44180.0,44550.0,47580.0,51275.0,53585.0,52920.0,49540.0,49325.0,42585.0,51860.0,56825.0,52270.0,43570.0,38015.0,27110.0,19310.0,43255.0,176420.0,100565.0,1146710.0,442050.0,561180.0,14410.0,799890.0,577605.0,97895.0,82980.0,25560.0,49645.0,8300.0,160.0,555.0,43785.0,10110.0,169265.0,73075.0,153865.0,93210.0,76555.0,66850.0,55270.0,44940.0,35430.0,27630.0,22535.0,50305.0
Hawkesbury,430.0,565.0,540.0,470.0,635.0,555.0,550.0,550.0,660.0,475.0,750.0,1015.0,1070.0,1150.0,925.0,780.0,425.0,905.0,3460.0,2760.0,12895.0,1455.0,10980.0,35.0,12110.0,10765.0,845.0,1685.0,1725.0,0.0,925.0,5.0,35.0,315.0,740.0,2245.0,1605.0,730.0,2210.0,1545.0,1250.0,875.0,590.0,435.0,245.0,180.0,625.0
Hawkesbury (Ontario part),335.0,465.0,450.0,390.0,530.0,440.0,465.0,445.0,570.0,390.0,645.0,900.0,920.0,1005.0,795.0,660.0,375.0,830.0,2940.0,2390.0,10690.0,1360.0,9215.0,35.0,10190.0,9265.0,695.0,1440.0,1470.0,0.0,810.0,0.0,30.0,265.0,680.0,1815.0,1405.0,645.0,1890.0,1300.0,1040.0,735.0,495.0,370.0,205.0,145.0,525.0
Hawkesbury (Quebec part),90.0,100.0,85.0,85.0,110.0,120.0,80.0,105.0,90.0,80.0,105.0,120.0,150.0,140.0,130.0,120.0,50.0,75.0,520.0,370.0,2205.0,80.0,1770.0,0.0,1920.0,1515.0,155.0,245.0,250.0,0.0,110.0,5.0,5.0,50.0,55.0,425.0,200.0,80.0,325.0,245.0,215.0,140.0,95.0,70.0,45.0,30.0,105.0
High River,675.0,970.0,940.0,620.0,630.0,730.0,865.0,975.0,855.0,800.0,805.0,920.0,1000.0,945.0,985.0,735.0,470.0,795.0,4010.0,1825.0,18745.0,6885.0,11315.0,150.0,15395.0,9350.0,1530.0,1985.0,725.0,0.0,105.0,275.0,5.0,730.0,1035.0,2910.0,1185.0,1850.0,1925.0,1445.0,1270.0,1060.0,990.0,645.0,495.0,360.0,880.0
Ingersoll,790.0,920.0,780.0,750.0,835.0,895.0,970.0,820.0,865.0,790.0,885.0,1040.0,1010.0,745.0,605.0,405.0,270.0,620.0,3805.0,2085.0,16200.0,2220.0,12485.0,30.0,14970.0,8820.0,1665.0,1695.0,625.0,65.0,80.0,0.0,10.0,385.0,405.0,3895.0,1155.0,1715.0,1465.0,1355.0,1400.0,1220.0,895.0,735.0,490.0,360.0,760.0
Joliette,2380.0,2710.0,2330.0,2405.0,2855.0,2960.0,2940.0,3005.0,2690.0,2550.0,2795.0,3655.0,4265.0,4130.0,3710.0,3080.0,2075.0,4330.0,10245.0,9865.0,75095.0,5085.0,47725.0,320.0,58455.0,42940.0,4365.0,7135.0,9810.0,210.0,1925.0,55.0,165.0,515.0,730.0,11155.0,5620.0,4565.0,8090.0,6020.0,5615.0,4170.0,2885.0,2055.0,1680.0,965.0,2425.0
Kamloops,5055.0,6080.0,5890.0,6940.0,7680.0,7745.0,7800.0,6715.0,6630.0,5835.0,7135.0,8015.0,8500.0,7355.0,6390.0,4345.0,3010.0,6050.0,31440.0,12535.0,159290.0,24255.0,96970.0,2750.0,123880.0,82595.0,11625.0,15515.0,7350.0,855.0,4060.0,2190.0,85.0,4215.0,3360.0,24995.0,10220.0,21140.0,13530.0,11625.0,10165.0,8700.0,6695.0,5035.0,4095.0,3185.0,7295.0
Kawartha Lakes,3395.0,3610.0,3420.0,3655.0,4060.0,4275.0,4215.0,3900.0,3955.0,3530.0,4810.0,6770.0,7295.0,6995.0,5950.0,4215.0,2600.0,5195.0,22385.0,11660.0,103385.0,12635.0,70930.0,195.0,93090.0,52595.0,8195.0,12655.0,2220.0,730.0,840.0,230.0,80.0,650.0,555.0,27395.0,8700.0,11125.0,10900.0,8605.0,7750.0,6205.0,4540.0,3445.0,2500.0,1965.0,4770.0
