,CENSUS_YEAR,DGUID,GEO_LEVEL,GEO_NAME,CHARACTERISTIC_NAME,C1_COUNT_TOTAL,C2_COUNT_MEN+,C3_COUNT_WOMEN+,Level,Lvl-0,Lvl-1,Lvl-2,Lvl-3,Lvl-4,Lvl-5,Lvl-6,Lvl-7,Lvl-8
20,2021,2021S0503001,Census metropolitan area,St. John's,    50 to 54 years,14850,7140,7710,2,Total - Age groups of the population - 100% data,15 to 64 years,50 to 54 years,0,0,0,0,0,0
21,2021,2021S0503001,Census metropolitan area,St. John's,    55 to 59 years,15570,7400,8170,2,Total - Age groups of the population - 100% data,15 to 64 years,55 to 59 years,0,0,0,0,0,0
22,2021,2021S0503001,Census metropolitan area,St. John's,    60 to 64 years,14610,7015,7595,2,Total - Age groups of the population - 100% data,15 to 64 years,60 to 64 years,0,0,0,0,0,0
23,2021,2021S0503001,Census metropolitan area,St. John's,  65 years and over,38615,17280,21330,1,Total - Age groups of the population - 100% data,65 years and over,0,0,0,0,0,0,0
24,2021,2021S0503001,Census metropolitan area,St. John's,    65 to 69 years,12870,6115,6760,2,Total - Age groups of the population - 100% data,65 years and over,65 to 69 years,0,0,0,0,0,0
25,2021,2021S0503001,Census metropolitan area,St. John's,    70 to 74 years,10645,4875,5770,2,Total - Age groups of the population - 100% data,65 years and over,70 to 74 years,0,0,0,0,0,0
26,2021,2021S0503001,Census metropolitan area,St. John's,    75 to 79 years,7185,3255,3935,2,Total - Age groups of the population - 100% data,65 years and over,75 to 79 years,0,0,0,0,0,0
27,2021,2021S0503001,Census metropolitan area,St. John's,    80 to 84 years,4325,1835,2490,2,Total - Age groups of the population - 100% data,65 years and over,80 to 84 years,0,0,0,0,0,0
28,2021,2021S0503001,Census metropolitan area,St. John's,    85 years and over,3585,1210,2380,2,Total - Age groups of the population - 100% data,65 years and over,85 years and over,0,0,0,0,0,0
29,2021,2021S0503001,Census metropolitan area,St. John's,      85 to 89 years,2280,875,1405,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,85 to 89 years,0,0,0,0,0
30,2021,2021S0503001,Census metropolitan area,St. John's,      90 to 94 years,985,265,720,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,90 to 94 years,0,0,0,0,0
31,2021,2021S0503001,Census metropolitan area,St. John's,      95 to 99 years,285,60,225,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,95 to 99 years,0,0,0,0,0
32,2021,2021S0503001,Census metropolitan area,St. John's,      100 years and over,25,10,25,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,100 years and over,0,0,0,0,0
40,2021,2021S0503001,Census metropolitan area,St. John's,Total - Occupied private dwellings by structural type of dwelling - 100% data,90000,0,0,0,Total - Occupied private dwellings by structural type of dwelling - 100% data,0,0,0,0,0,0,0,0
41,2021,2021S0503001,Census metropolitan area,St. John's,  Single-detached house,49215,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,0,0,0,0,0,0,0
42,2021,2021S0503001,Census metropolitan area,St. John's,  Semi-detached house,4210,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Semi-detached house,0,0,0,0,0,0,0
43,2021,2021S0503001,Census metropolitan area,St. John's,  Row house,6285,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,0,0,0,0,0,0,0
44,2021,2021S0503001,Census metropolitan area,St. John's,  Apartment or flat in a duplex,22210,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,0,0,0,0,0,0,0
45,2021,2021S0503001,Census metropolitan area,St. John's,  Apartment in a building that has fewer than five storeys,7225,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has fewer than five storeys,0,0,0,0,0,0,0
46,2021,2021S0503001,Census metropolitan area,St. John's,  Apartment in a building that has five or more storeys,550,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,0,0,0,0,0,0,0
47,2021,2021S0503001,Census metropolitan area,St. John's,  Other single-attached house,155,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other single-attached house,0,0,0,0,0,0,0
48,2021,2021S0503001,Census metropolitan area,St. John's,  Movable dwelling,150,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,0,0,0,0,0,0,0
57,2021,2021S0503001,Census metropolitan area,St. John's,Total - Marital status for the total population aged 15 years and over - 100% data,181015,87275,93735,0,Total - Marital status for the total population aged 15 years and over - 100% data,0,0,0,0,0,0,0,0
58,2021,2021S0503001,Census metropolitan area,St. John's,  Married or living common-law,102295,51030,51265,1,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,0,0,0,0,0,0,0
59,2021,2021S0503001,Census metropolitan area,St. John's,    Married,81265,40540,40725,2,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Married,0,0,0,0,0,0
60,2021,2021S0503001,Census metropolitan area,St. John's,    Living common-law,21030,10490,10545,2,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,0,0,0,0,0,0
61,2021,2021S0503001,Census metropolitan area,St. John's,      Living common law - Never married,16500,8160,8335,3,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Never married,0,0,0,0,0
62,2021,2021S0503001,Census metropolitan area,St. John's,      Living common law - Separated,570,310,260,3,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Separated,0,0,0,0,0
63,2021,2021S0503001,Census metropolitan area,St. John's,      Living common law - Divorced,3585,1850,1735,3,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Divorced,0,0,0,0,0
64,2021,2021S0503001,Census metropolitan area,St. John's,      Living common law - Widowed,380,170,210,3,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Widowed,0,0,0,0,0
65,2021,2021S0503001,Census metropolitan area,St. John's,  Not married and not living common-law,78715,36245,42465,1,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,0,0,0,0,0,0,0
66,2021,2021S0503001,Census metropolitan area,St. John's,    Not married and not living common law - Never married,54140,28425,25710,2,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Never married,0,0,0,0,0,0
67,2021,2021S0503001,Census metropolitan area,St. John's,    Not married and not living common law - Separated,4030,1645,2385,2,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Separated,0,0,0,0,0,0
68,2021,2021S0503001,Census metropolitan area,St. John's,    Not married and not living common law - Divorced,10715,4085,6630,2,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Divorced,0,0,0,0,0,0
69,2021,2021S0503001,Census metropolitan area,St. John's,    Not married and not living common law - Widowed,9830,2090,7735,2,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Widowed,0,0,0,0,0,0
77,2021,2021S0503001,Census metropolitan area,St. John's,Total number of census families in private households - 100% data,60895,0,0,0,Total number of census families in private households - 100% data,0,0,0,0,0,0,0,0
78,2021,2021S0503001,Census metropolitan area,St. John's,  Total couple families,50360,0,0,1,Total number of census families in private households - 100% data,Total couple families,0,0,0,0,0,0,0
79,2021,2021S0503001,Census metropolitan area,St. John's,    Married couples,39840,0,0,2,Total number of census families in private households - 100% data,Total couple families,Married couples,0,0,0,0,0,0
80,2021,2021S0503001,Census metropolitan area,St. John's,      With children,20855,0,0,3,Total number of census families in private households - 100% data,Total couple families,Married couples,With children,0,0,0,0,0
81,2021,2021S0503001,Census metropolitan area,St. John's,      Without children,18995,0,0,3,Total number of census families in private households - 100% data,Total couple families,Married couples,Without children,0,0,0,0,0
82,2021,2021S0503001,Census metropolitan area,St. John's,    Common-law couples,10520,0,0,2,Total number of census families in private households - 100% data,Total couple families,Common-law couples,0,0,0,0,0,0
83,2021,2021S0503001,Census metropolitan area,St. John's,      With children,3765,0,0,3,Total number of census families in private households - 100% data,Total couple families,Common-law couples,With children,0,0,0,0,0
84,2021,2021S0503001,Census metropolitan area,St. John's,      Without children,6750,0,0,3,Total number of census families in private households - 100% data,Total couple families,Common-law couples,Without children,0,0,0,0,0
85,2021,2021S0503001,Census metropolitan area,St. John's,  Total one-parent families,10540,0,0,1,Total number of census families in private households - 100% data,Total one-parent families,0,0,0,0,0,0,0
86,2021,2021S0503001,Census metropolitan area,St. John's,    in which the parent is a woman+,8305,0,0,2,Total number of census families in private households - 100% data,Total one-parent families,in which the parent is a woman+,0,0,0,0,0,0
87,2021,2021S0503001,Census metropolitan area,St. John's,    in which the parent is a man+,2230,0,0,2,Total number of census families in private households - 100% data,Total one-parent families,in which the parent is a man+,0,0,0,0,0,0
154,2021,2021S0503001,Census metropolitan area,St. John's,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,177275,85410,91870,0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,0,0,0,0,0,0,0,0
155,2021,2021S0503001,Census metropolitan area,St. John's,  Without total income,6120,3100,3025,1,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,Without total income,0,0,0,0,0,0,0
156,2021,2021S0503001,Census metropolitan area,St. John's,  With total income,171160,82315,88845,1,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,0,0,0,0,0,0,0
157,2021,2021S0503001,Census metropolitan area,St. John's,"    Under $10,000 (including loss)",12495,5675,6815,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"Under $10,000 (including loss)",0,0,0,0,0,0
158,2021,2021S0503001,Census metropolitan area,St. John's,"    $10,000 to $19,999",19270,8075,11195,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$10,000 to $19,999",0,0,0,0,0,0
159,2021,2021S0503001,Census metropolitan area,St. John's,"    $20,000 to $29,999",26135,11345,14790,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$20,000 to $29,999",0,0,0,0,0,0
160,2021,2021S0503001,Census metropolitan area,St. John's,"    $30,000 to $39,999",21860,9555,12305,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$30,000 to $39,999",0,0,0,0,0,0
161,2021,2021S0503001,Census metropolitan area,St. John's,"    $40,000 to $49,999",19920,8660,11260,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$40,000 to $49,999",0,0,0,0,0,0
162,2021,2021S0503001,Census metropolitan area,St. John's,"    $50,000 to $59,999",15670,7110,8565,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$50,000 to $59,999",0,0,0,0,0,0
163,2021,2021S0503001,Census metropolitan area,St. John's,"    $60,000 to $69,999",12150,6035,6115,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$60,000 to $69,999",0,0,0,0,0,0
164,2021,2021S0503001,Census metropolitan area,St. John's,"    $70,000 to $79,999",9510,5060,4450,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$70,000 to $79,999",0,0,0,0,0,0
165,2021,2021S0503001,Census metropolitan area,St. John's,"    $80,000 to $89,999",7710,4120,3595,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$80,000 to $89,999",0,0,0,0,0,0
166,2021,2021S0503001,Census metropolitan area,St. John's,"    $90,000 to $99,999",6455,3220,3240,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$90,000 to $99,999",0,0,0,0,0,0
167,2021,2021S0503001,Census metropolitan area,St. John's,"    $100,000 and over",19980,13460,6515,2,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$100,000 and over",0,0,0,0,0,0
168,2021,2021S0503001,Census metropolitan area,St. John's,"      $100,000 to $149,999",12980,8250,4725,3,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$100,000 and over","$100,000 to $149,999",0,0,0,0,0
169,2021,2021S0503001,Census metropolitan area,St. John's,"      $150,000 and over",7000,5210,1790,3,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$100,000 and over","$150,000 and over",0,0,0,0,0
1526,2021,2021S0503001,Census metropolitan area,St. John's,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,208820,101570,107245,0,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,0,0,0,0,0,0,0,0
1527,2021,2021S0503001,Census metropolitan area,St. John's,  Non-immigrants,194935,94205,100735,1,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Non-immigrants,0,0,0,0,0,0,0
1528,2021,2021S0503001,Census metropolitan area,St. John's,  Immigrants,9505,4890,4610,1,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,0,0,0,0,0,0,0
1529,2021,2021S0503001,Census metropolitan area,St. John's,    Before 1980,1820,925,890,2,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,Before 1980,0,0,0,0,0,0
1530,2021,2021S0503001,Census metropolitan area,St. John's,    1980 to 1990,555,355,195,2,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,1980 to 1990,0,0,0,0,0,0
1531,2021,2021S0503001,Census metropolitan area,St. John's,    1991 to 2000,705,360,345,2,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,1991 to 2000,0,0,0,0,0,0
1532,2021,2021S0503001,Census metropolitan area,St. John's,    2001 to 2010,1780,940,840,2,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2001 to 2010,0,0,0,0,0,0
1533,2021,2021S0503001,Census metropolitan area,St. John's,    2011 to 2021,4650,2310,2340,2,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2011 to 2021,0,0,0,0,0,0
1534,2021,2021S0503001,Census metropolitan area,St. John's,      2011 to 2015,1565,805,765,3,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2011 to 2021,2011 to 2015,0,0,0,0,0
1535,2021,2021S0503001,Census metropolitan area,St. John's,      2016 to 2021,3085,1505,1580,3,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2011 to 2021,2016 to 2021,0,0,0,0,0
1536,2021,2021S0503001,Census metropolitan area,St. John's,  Non-permanent residents,4375,2475,1895,1,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Non-permanent residents,0,0,0,0,0,0,0
1997,2021,2021S0503001,Census metropolitan area,St. John's,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",177280,85390,91885,0,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",0,0,0,0,0,0,0,0
1998,2021,2021S0503001,Census metropolitan area,St. John's,"  No certificate, diploma or degree",21900,11280,10620,1,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree",0,0,0,0,0,0,0
1999,2021,2021S0503001,Census metropolitan area,St. John's,  High (secondary) school diploma or equivalency certificate,46700,23600,23095,1,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",High (secondary) school diploma or equivalency certificate,0,0,0,0,0,0,0
2000,2021,2021S0503001,Census metropolitan area,St. John's,"  Postsecondary certificate, diploma or degree",108675,50505,58170,1,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",0,0,0,0,0,0,0
2001,2021,2021S0503001,Census metropolitan area,St. John's,    Postsecondary certificate or diploma below bachelor level,61685,29980,31700,2,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Postsecondary certificate or diploma below bachelor level,0,0,0,0,0,0
2002,2021,2021S0503001,Census metropolitan area,St. John's,      Apprenticeship or trades certificate or diploma,14030,9895,4140,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Postsecondary certificate or diploma below bachelor level,Apprenticeship or trades certificate or diploma,0,0,0,0,0
2003,2021,2021S0503001,Census metropolitan area,St. John's,        Non-apprenticeship trades certificate or diploma,7155,3935,3215,4,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Postsecondary certificate or diploma below bachelor level,Apprenticeship or trades certificate or diploma,Non-apprenticeship trades certificate or diploma,0,0,0,0
2004,2021,2021S0503001,Census metropolitan area,St. John's,        Apprenticeship certificate,6875,5955,925,4,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Postsecondary certificate or diploma below bachelor level,Apprenticeship or trades certificate or diploma,Apprenticeship certificate,0,0,0,0
2005,2021,2021S0503001,Census metropolitan area,St. John's,"      College, CEGEP or other non-university certificate or diploma",42890,18105,24780,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Postsecondary certificate or diploma below bachelor level,"College, CEGEP or other non-university certificate or diploma",0,0,0,0,0
2006,2021,2021S0503001,Census metropolitan area,St. John's,      University certificate or diploma below bachelor level,4760,1980,2780,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Postsecondary certificate or diploma below bachelor level,University certificate or diploma below bachelor level,0,0,0,0,0
2007,2021,2021S0503001,Census metropolitan area,St. John's,    Bachelor's degree or higher,46990,20525,26465,2,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,0,0,0,0,0,0
2008,2021,2021S0503001,Census metropolitan area,St. John's,      Bachelor's degree,29890,12760,17130,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,Bachelor's degree,0,0,0,0,0
2009,2021,2021S0503001,Census metropolitan area,St. John's,      University certificate or diploma above bachelor level,2085,1015,1070,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,University certificate or diploma above bachelor level,0,0,0,0,0
2010,2021,2021S0503001,Census metropolitan area,St. John's,"      Degree in medicine, dentistry, veterinary medicine or optometry",1300,630,665,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,"Degree in medicine, dentistry, veterinary medicine or optometry",0,0,0,0,0
2011,2021,2021S0503001,Census metropolitan area,St. John's,      Master's degree,11520,4740,6775,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,Master's degree,0,0,0,0,0
2012,2021,2021S0503001,Census metropolitan area,St. John's,      Earned doctorate,2205,1375,825,3,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,Earned doctorate,0,0,0,0,0
2638,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,Total - Age groups of the population - 100% data,13855,6650,7205,0,Total - Age groups of the population - 100% data,0,0,0,0,0,0,0,0
2639,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  0 to 14 years,1925,965,960,1,Total - Age groups of the population - 100% data,0 to 14 years,0,0,0,0,0,0,0
2640,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    0 to 4 years,545,285,260,2,Total - Age groups of the population - 100% data,0 to 14 years,0 to 4 years,0,0,0,0,0,0
2641,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    5 to 9 years,625,290,335,2,Total - Age groups of the population - 100% data,0 to 14 years,5 to 9 years,0,0,0,0,0,0
2642,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    10 to 14 years,760,395,365,2,Total - Age groups of the population - 100% data,0 to 14 years,10 to 14 years,0,0,0,0,0,0
2643,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  15 to 64 years,8455,4100,4355,1,Total - Age groups of the population - 100% data,15 to 64 years,0,0,0,0,0,0,0
2644,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    15 to 19 years,725,370,360,2,Total - Age groups of the population - 100% data,15 to 64 years,15 to 19 years,0,0,0,0,0,0
2645,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    20 to 24 years,675,345,330,2,Total - Age groups of the population - 100% data,15 to 64 years,20 to 24 years,0,0,0,0,0,0
2646,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    25 to 29 years,620,295,325,2,Total - Age groups of the population - 100% data,15 to 64 years,25 to 29 years,0,0,0,0,0,0
2647,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    30 to 34 years,680,320,355,2,Total - Age groups of the population - 100% data,15 to 64 years,30 to 34 years,0,0,0,0,0,0
2648,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    35 to 39 years,755,360,395,2,Total - Age groups of the population - 100% data,15 to 64 years,35 to 39 years,0,0,0,0,0,0
2649,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    40 to 44 years,850,400,460,2,Total - Age groups of the population - 100% data,15 to 64 years,40 to 44 years,0,0,0,0,0,0
2650,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    45 to 49 years,890,430,460,2,Total - Age groups of the population - 100% data,15 to 64 years,45 to 49 years,0,0,0,0,0,0
2651,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    50 to 54 years,990,480,510,2,Total - Age groups of the population - 100% data,15 to 64 years,50 to 54 years,0,0,0,0,0,0
2652,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    55 to 59 years,1090,535,550,2,Total - Age groups of the population - 100% data,15 to 64 years,55 to 59 years,0,0,0,0,0,0
2653,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    60 to 64 years,1180,570,610,2,Total - Age groups of the population - 100% data,15 to 64 years,60 to 64 years,0,0,0,0,0,0
2654,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  65 years and over,3465,1575,1890,1,Total - Age groups of the population - 100% data,65 years and over,0,0,0,0,0,0,0
2655,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    65 to 69 years,1080,515,565,2,Total - Age groups of the population - 100% data,65 years and over,65 to 69 years,0,0,0,0,0,0
2656,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    70 to 74 years,910,420,490,2,Total - Age groups of the population - 100% data,65 years and over,70 to 74 years,0,0,0,0,0,0
2657,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    75 to 79 years,640,285,355,2,Total - Age groups of the population - 100% data,65 years and over,75 to 79 years,0,0,0,0,0,0
2658,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    80 to 84 years,505,240,265,2,Total - Age groups of the population - 100% data,65 years and over,80 to 84 years,0,0,0,0,0,0
2659,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,    85 years and over,330,115,215,2,Total - Age groups of the population - 100% data,65 years and over,85 years and over,0,0,0,0,0,0
2660,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,      85 to 89 years,245,85,155,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,85 to 89 years,0,0,0,0,0
2661,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,      90 to 94 years,75,25,50,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,90 to 94 years,0,0,0,0,0
2662,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,      95 to 99 years,15,5,10,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,95 to 99 years,0,0,0,0,0
2663,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,      100 years and over,0,0,0,3,Total - Age groups of the population - 100% data,65 years and over,85 years and over,100 years and over,0,0,0,0,0
2671,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,Total - Occupied private dwellings by structural type of dwelling - 100% data,6125,0,0,0,Total - Occupied private dwellings by structural type of dwelling - 100% data,0,0,0,0,0,0,0,0
2672,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  Single-detached house,3950,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,0,0,0,0,0,0,0
2673,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  Semi-detached house,370,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Semi-detached house,0,0,0,0,0,0,0
2674,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  Row house,540,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,0,0,0,0,0,0,0
2675,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  Apartment or flat in a duplex,750,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,0,0,0,0,0,0,0
2676,2021,2021S0504010,Census agglomeration,Grand Falls-Windsor,  Apartment in a building that has fewer than five storeys,495,0,0,1,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has fewer than five storeys,0,0,0,0,0,0,0
