GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,immigration_status,period_of_immigration
Truro,590,285,300,Non-permanent residents,0
New Glasgow,32645,15800,16840,Non-immigrants,0
New Glasgow,985,480,495,Immigrants,0
New Glasgow,375,175,205,Immigrants,Before 1980
New Glasgow,50,20,35,Immigrants,1980 to 1990
New Glasgow,70,30,40,Immigrants,1991 to 2000
New Glasgow,140,70,65,Immigrants,2001 to 2010
New Glasgow,345,190,155,Immigrants,2011 to 2021
New Glasgow,155,95,60,Non-permanent residents,0
Cape Breton,92120,43985,48135,Non-immigrants,0
Cape Breton,2185,1085,1100,Immigrants,0
Cape Breton,830,385,445,Immigrants,Before 1980
Cape Breton,150,85,70,Immigrants,1980 to 1990
Cape Breton,165,75,85,Immigrants,1991 to 2000
Cape Breton,355,160,200,Immigrants,2001 to 2010
Cape Breton,680,390,295,Immigrants,2011 to 2021
Cape Breton,2335,1345,990,Non-permanent residents,0
Moncton,136130,66255,69870,Non-immigrants,0
Moncton,13345,6735,6610,Immigrants,0
Moncton,1790,880,910,Immigrants,Before 1980
Moncton,515,275,240,Immigrants,1980 to 1990
Moncton,615,315,305,Immigrants,1991 to 2000
Moncton,1905,915,990,Immigrants,2001 to 2010
Moncton,8520,4345,4175,Immigrants,2011 to 2021
Moncton,4775,2525,2250,Non-permanent residents,0
Saint John,118110,57320,60795,Non-immigrants,0
Saint John,8460,4160,4300,Immigrants,0
Saint John,1985,945,1035,Immigrants,Before 1980
Saint John,550,255,295,Immigrants,1980 to 1990
Saint John,490,235,255,Immigrants,1991 to 2000
Saint John,1205,580,620,Immigrants,2001 to 2010
Saint John,4230,2135,2095,Immigrants,2011 to 2021
Saint John,1815,1075,735,Non-permanent residents,0
Fredericton,95865,46950,48915,Non-immigrants,0
Fredericton,9510,4595,4915,Immigrants,0
Fredericton,1725,740,985,Immigrants,Before 1980
Fredericton,480,230,250,Immigrants,1980 to 1990
Fredericton,805,360,445,Immigrants,1991 to 2000
Fredericton,1625,820,805,Immigrants,2001 to 2010
Fredericton,4880,2450,2430,Immigrants,2011 to 2021
Fredericton,1790,955,835,Non-permanent residents,0
Bathurst,29505,14495,15010,Non-immigrants,0
Bathurst,755,375,380,Immigrants,0
Bathurst,220,140,85,Immigrants,Before 1980
Bathurst,50,15,30,Immigrants,1980 to 1990
Bathurst,55,15,40,Immigrants,1991 to 2000
Bathurst,115,55,55,Immigrants,2001 to 2010
Bathurst,310,150,160,Immigrants,2011 to 2021
Bathurst,290,200,90,Non-permanent residents,0
Miramichi,26065,12620,13445,Non-immigrants,0
Miramichi,865,400,465,Immigrants,0
Miramichi,250,115,140,Immigrants,Before 1980
Miramichi,65,35,35,Immigrants,1980 to 1990
Miramichi,70,25,45,Immigrants,1991 to 2000
Miramichi,145,65,75,Immigrants,2001 to 2010
Miramichi,335,160,170,Immigrants,2011 to 2021
Miramichi,110,45,60,Non-permanent residents,0
Campbellton,12290,5975,6310,Non-immigrants,0
Campbellton,290,180,105,Immigrants,0
Campbellton,70,40,25,Immigrants,Before 1980
Campbellton,0,0,0,Immigrants,1980 to 1990
Campbellton,40,15,30,Immigrants,1991 to 2000
Campbellton,40,30,15,Immigrants,2001 to 2010
Campbellton,130,95,35,Immigrants,2011 to 2021
Campbellton,75,40,35,Non-permanent residents,0
Campbellton (New Brunswick part),10980,5330,5650,Non-immigrants,0
Campbellton (New Brunswick part),275,175,105,Immigrants,0
Campbellton (New Brunswick part),60,40,25,Immigrants,Before 1980
Campbellton (New Brunswick part),0,0,0,Immigrants,1980 to 1990
Campbellton (New Brunswick part),40,0,30,Immigrants,1991 to 2000
Campbellton (New Brunswick part),40,30,15,Immigrants,2001 to 2010
Campbellton (New Brunswick part),130,95,35,Immigrants,2011 to 2021
Campbellton (New Brunswick part),75,40,35,Non-permanent residents,0
Campbellton (Quebec part),1305,655,660,Non-immigrants,0
Campbellton (Quebec part),10,10,0,Immigrants,0
Campbellton (Quebec part),10,0,0,Immigrants,Before 1980
Campbellton (Quebec part),0,0,0,Immigrants,1980 to 1990
Campbellton (Quebec part),0,0,0,Immigrants,1991 to 2000
Campbellton (Quebec part),0,0,0,Immigrants,2001 to 2010
Campbellton (Quebec part),0,0,0,Immigrants,2011 to 2021
Campbellton (Quebec part),0,0,0,Non-permanent residents,0
Edmundston,19915,9700,10215,Non-immigrants,0
Edmundston,715,325,390,Immigrants,0
Edmundston,215,80,135,Immigrants,Before 1980
Edmundston,35,20,15,Immigrants,1980 to 1990
Edmundston,55,25,30,Immigrants,1991 to 2000
Edmundston,100,45,50,Immigrants,2001 to 2010
Edmundston,310,155,155,Immigrants,2011 to 2021
Edmundston,295,195,105,Non-permanent residents,0
Matane,17520,8715,8805,Non-immigrants,0
Matane,215,95,115,Immigrants,0
Matane,40,20,20,Immigrants,Before 1980
Matane,20,10,10,Immigrants,1980 to 1990
Matane,15,0,15,Immigrants,1991 to 2000
Matane,75,50,30,Immigrants,2001 to 2010
Matane,65,15,50,Immigrants,2011 to 2021
Matane,290,190,100,Non-permanent residents,0
Rimouski,50805,24730,26075,Non-immigrants,0
Rimouski,1185,665,520,Immigrants,0
Rimouski,110,75,35,Immigrants,Before 1980
Rimouski,75,40,35,Immigrants,1980 to 1990
Rimouski,165,85,80,Immigrants,1991 to 2000
Rimouski,315,155,155,Immigrants,2001 to 2010
Rimouski,520,310,210,Immigrants,2011 to 2021
Rimouski,485,225,260,Non-permanent residents,0
RiviÃ¨re-du-Loup,27805,13740,14070,Non-immigrants,0
RiviÃ¨re-du-Loup,480,240,240,Immigrants,0
RiviÃ¨re-du-Loup,45,15,25,Immigrants,Before 1980
RiviÃ¨re-du-Loup,60,40,20,Immigrants,1980 to 1990
RiviÃ¨re-du-Loup,40,15,25,Immigrants,1991 to 2000
RiviÃ¨re-du-Loup,115,65,50,Immigrants,2001 to 2010
RiviÃ¨re-du-Loup,220,100,115,Immigrants,2011 to 2021
RiviÃ¨re-du-Loup,385,255,130,Non-permanent residents,0
Baie-Comeau,25260,12755,12500,Non-immigrants,0
Baie-Comeau,315,140,175,Immigrants,0
Baie-Comeau,50,35,10,Immigrants,Before 1980
Baie-Comeau,15,10,10,Immigrants,1980 to 1990
Baie-Comeau,30,20,10,Immigrants,1991 to 2000
Baie-Comeau,110,35,75,Immigrants,2001 to 2010
Baie-Comeau,115,45,70,Immigrants,2011 to 2021
Baie-Comeau,145,90,55,Non-permanent residents,0
Saguenay,154185,77510,76675,Non-immigrants,0
Saguenay,2065,1020,1045,Immigrants,0
Saguenay,255,125,125,Immigrants,Before 1980
Saguenay,140,50,90,Immigrants,1980 to 1990
Saguenay,275,130,145,Immigrants,1991 to 2000
Saguenay,630,335,290,Immigrants,2001 to 2010
Saguenay,775,375,400,Immigrants,2011 to 2021
Saguenay,1650,965,685,Non-permanent residents,0
Alma,28955,14420,14535,Non-immigrants,0
Alma,265,145,120,Immigrants,0
Alma,60,35,25,Immigrants,Before 1980
Alma,0,0,0,Immigrants,1980 to 1990
Alma,15,10,10,Immigrants,1991 to 2000
Alma,75,50,20,Immigrants,2001 to 2010
Alma,120,50,65,Immigrants,2011 to 2021
Alma,105,75,25,Non-permanent residents,0
Dolbeau-Mistassini,14515,7320,7205,Non-immigrants,0
Dolbeau-Mistassini,120,55,65,Immigrants,0
Dolbeau-Mistassini,0,0,0,Immigrants,Before 1980
Dolbeau-Mistassini,0,0,0,Immigrants,1980 to 1990
Dolbeau-Mistassini,10,0,10,Immigrants,1991 to 2000
Dolbeau-Mistassini,30,30,0,Immigrants,2001 to 2010
Dolbeau-Mistassini,75,30,45,Immigrants,2011 to 2021
Dolbeau-Mistassini,85,70,15,Non-permanent residents,0
Sept-ÃŽles,26520,13285,13235,Non-immigrants,0
Sept-ÃŽles,490,245,240,Immigrants,0
Sept-ÃŽles,90,55,35,Immigrants,Before 1980
Sept-ÃŽles,10,10,0,Immigrants,1980 to 1990
Sept-ÃŽles,20,15,10,Immigrants,1991 to 2000
Sept-ÃŽles,100,55,45,Immigrants,2001 to 2010
Sept-ÃŽles,265,115,155,Immigrants,2011 to 2021
Sept-ÃŽles,150,85,65,Non-permanent residents,0
QuÃ©bec,746855,368115,378740,Non-immigrants,0
QuÃ©bec,54855,27410,27450,Immigrants,0
QuÃ©bec,4220,2360,1865,Immigrants,Before 1980
QuÃ©bec,3090,1670,1425,Immigrants,1980 to 1990
QuÃ©bec,5875,2885,2985,Immigrants,1991 to 2000
QuÃ©bec,15545,7775,7765,Immigrants,2001 to 2010
QuÃ©bec,26130,12720,13410,Immigrants,2011 to 2021
QuÃ©bec,15395,8245,7145,Non-permanent residents,0
Sainte-Marie,12115,6055,6060,Non-immigrants,0
Sainte-Marie,315,165,155,Immigrants,0
Sainte-Marie,45,30,15,Immigrants,Before 1980
Sainte-Marie,25,0,25,Immigrants,1980 to 1990
Sainte-Marie,10,0,0,Immigrants,1991 to 2000
Sainte-Marie,120,70,50,Immigrants,2001 to 2010
Sainte-Marie,120,55,65,Immigrants,2011 to 2021
Sainte-Marie,210,140,70,Non-permanent residents,0
Saint-Georges,32810,16365,16445,Non-immigrants,0
Saint-Georges,615,325,290,Immigrants,0
Saint-Georges,110,75,35,Immigrants,Before 1980
Saint-Georges,40,10,30,Immigrants,1980 to 1990
Saint-Georges,40,15,30,Immigrants,1991 to 2000
Saint-Georges,95,50,45,Immigrants,2001 to 2010
Saint-Georges,330,180,150,Immigrants,2011 to 2021
Saint-Georges,565,350,220,Non-permanent residents,0
Thetford Mines,25555,12650,12905,Non-immigrants,0
Thetford Mines,470,230,240,Immigrants,0
Thetford Mines,85,25,60,Immigrants,Before 1980
Thetford Mines,80,50,35,Immigrants,1980 to 1990
Thetford Mines,50,20,30,Immigrants,1991 to 2000
Thetford Mines,110,75,30,Immigrants,2001 to 2010
Thetford Mines,150,65,90,Immigrants,2011 to 2021
Thetford Mines,400,260,140,Non-permanent residents,0
Sherbrooke,199560,98095,101465,Non-immigrants,0
Sherbrooke,16730,8515,8210,Immigrants,0
Sherbrooke,1735,975,760,Immigrants,Before 1980
Sherbrooke,985,490,495,Immigrants,1980 to 1990
Sherbrooke,2245,1190,1060,Immigrants,1991 to 2000
Sherbrooke,4515,2305,2205,Immigrants,2001 to 2010
Sherbrooke,7245,3555,3690,Immigrants,2011 to 2021
Sherbrooke,3815,2210,1600,Non-permanent residents,0
Cowansville,13755,6700,7055,Non-immigrants,0
Cowansville,485,200,285,Immigrants,0
Cowansville,220,100,115,Immigrants,Before 1980
Cowansville,50,15,35,Immigrants,1980 to 1990
Cowansville,35,15,20,Immigrants,1991 to 2000
Cowansville,100,30,70,Immigrants,2001 to 2010
Cowansville,75,40,40,Immigrants,2011 to 2021
Cowansville,45,35,15,Non-permanent residents,0
Victoriaville,48565,23915,24645,Non-immigrants,0
Victoriaville,1580,760,820,Immigrants,0
Victoriaville,160,85,75,Immigrants,Before 1980
Victoriaville,120,65,55,Immigrants,1980 to 1990
Victoriaville,185,80,110,Immigrants,1991 to 2000
Victoriaville,480,215,260,Immigrants,2001 to 2010
Victoriaville,640,320,320,Immigrants,2011 to 2021
Victoriaville,415,260,150,Non-permanent residents,0
Trois-RiviÃ¨res,146760,72140,74625,Non-immigrants,0
Trois-RiviÃ¨res,6360,3215,3145,Immigrants,0
Trois-RiviÃ¨res,600,310,290,Immigrants,Before 1980
Trois-RiviÃ¨res,400,215,190,Immigrants,1980 to 1990
Trois-RiviÃ¨res,520,225,290,Immigrants,1991 to 2000
Trois-RiviÃ¨res,1930,960,975,Immigrants,2001 to 2010
Trois-RiviÃ¨res,2905,1505,1400,Immigrants,2011 to 2021
Trois-RiviÃ¨res,2415,1375,1040,Non-permanent residents,0
Shawinigan,46310,22840,23470,Non-immigrants,0
Shawinigan,1015,505,505,Immigrants,0
Shawinigan,115,65,50,Immigrants,Before 1980
Shawinigan,95,55,40,Immigrants,1980 to 1990
Shawinigan,90,35,55,Immigrants,1991 to 2000
Shawinigan,270,120,145,Immigrants,2001 to 2010
Shawinigan,445,235,210,Immigrants,2011 to 2021
Shawinigan,320,210,110,Non-permanent residents,0
Drummondville,93735,46820,46915,Non-immigrants,0
Drummondville,3700,1975,1725,Immigrants,0
Drummondville,350,210,140,Immigrants,Before 1980
Drummondville,220,120,100,Immigrants,1980 to 1990
Drummondville,405,195,210,Immigrants,1991 to 2000
Drummondville,1025,545,480,Immigrants,2001 to 2010
Drummondville,1705,905,800,Immigrants,2011 to 2021
Drummondville,1130,745,385,Non-permanent residents,0
Granby,83155,41070,42085,Non-immigrants,0
Granby,4420,2285,2130,Immigrants,0
Granby,725,395,330,Immigrants,Before 1980
Granby,275,150,120,Immigrants,1980 to 1990
Granby,475,235,240,Immigrants,1991 to 2000
Granby,1310,675,635,Immigrants,2001 to 2010
Granby,1630,830,800,Immigrants,2011 to 2021
Granby,670,370,310,Non-permanent residents,0
Saint-Hyacinthe,51915,25260,26655,Non-immigrants,0
Saint-Hyacinthe,4295,2140,2155,Immigrants,0
Saint-Hyacinthe,305,175,130,Immigrants,Before 1980
Saint-Hyacinthe,105,60,45,Immigrants,1980 to 1990
Saint-Hyacinthe,275,115,160,Immigrants,1991 to 2000
Saint-Hyacinthe,1205,620,590,Immigrants,2001 to 2010
Saint-Hyacinthe,2405,1175,1225,Immigrants,2011 to 2021
Saint-Hyacinthe,1365,750,615,Non-permanent residents,0
Sorel-Tracy,39275,19620,19655,Non-immigrants,0
Sorel-Tracy,1020,485,535,Immigrants,0
Sorel-Tracy,250,135,120,Immigrants,Before 1980
Sorel-Tracy,110,55,55,Immigrants,1980 to 1990
Sorel-Tracy,120,65,60,Immigrants,1991 to 2000
Sorel-Tracy,250,95,155,Immigrants,2001 to 2010
Sorel-Tracy,295,135,155,Immigrants,2011 to 2021
Sorel-Tracy,160,95,70,Non-permanent residents,0
Joliette,47725,22715,25015,Non-immigrants,0
Joliette,2120,1035,1080,Immigrants,0
Joliette,295,155,140,Immigrants,Before 1980
Joliette,190,95,90,Immigrants,1980 to 1990
Joliette,265,135,135,Immigrants,1991 to 2000
Joliette,505,270,235,Immigrants,2001 to 2010
Joliette,855,385,475,Immigrants,2011 to 2021
Joliette,320,175,140,Non-permanent residents,0
MontrÃ©al,3021825,1489185,1532640,Non-immigrants,0
MontrÃ©al,1022940,494930,528015,Immigrants,0
MontrÃ©al,161700,77950,83745,Immigrants,Before 1980
MontrÃ©al,110220,54450,55775,Immigrants,1980 to 1990
MontrÃ©al,166745,80125,86620,Immigrants,1991 to 2000
MontrÃ©al,262345,126040,136310,Immigrants,2001 to 2010
MontrÃ©al,321940,156365,165565,Immigrants,2011 to 2021
MontrÃ©al,161680,87735,73945,Non-permanent residents,0
Salaberry-de-Valleyfield,39740,19575,20165,Non-immigrants,0
Salaberry-de-Valleyfield,1310,645,665,Immigrants,0
Salaberry-de-Valleyfield,270,120,155,Immigrants,Before 1980
Salaberry-de-Valleyfield,115,50,60,Immigrants,1980 to 1990
Salaberry-de-Valleyfield,165,120,50,Immigrants,1991 to 2000
Salaberry-de-Valleyfield,355,170,180,Immigrants,2001 to 2010
Salaberry-de-Valleyfield,405,185,220,Immigrants,2011 to 2021
Salaberry-de-Valleyfield,150,120,25,Non-permanent residents,0
Sainte-Agathe-des-Monts,18240,8870,9375,Non-immigrants,0
Sainte-Agathe-des-Monts,1085,565,525,Immigrants,0
Sainte-Agathe-des-Monts,310,180,135,Immigrants,Before 1980
Sainte-Agathe-des-Monts,100,35,65,Immigrants,1980 to 1990
Sainte-Agathe-des-Monts,185,85,100,Immigrants,1991 to 2000
Sainte-Agathe-des-Monts,235,150,80,Immigrants,2001 to 2010
Sainte-Agathe-des-Monts,255,115,145,Immigrants,2011 to 2021
Sainte-Agathe-des-Monts,85,55,30,Non-permanent residents,0
Lachute,13030,6400,6625,Non-immigrants,0
Lachute,320,155,165,Immigrants,0
Lachute,130,70,60,Immigrants,Before 1980
Lachute,50,30,25,Immigrants,1980 to 1990
Lachute,30,25,10,Immigrants,1991 to 2000
Lachute,60,20,45,Immigrants,2001 to 2010
Lachute,50,20,30,Immigrants,2011 to 2021
Lachute,15,15,0,Non-permanent residents,0
Val-d'Or,32420,16465,15955,Non-immigrants,0
Val-d'Or,735,365,370,Immigrants,0
Val-d'Or,80,45,40,Immigrants,Before 1980
Val-d'Or,35,20,20,Immigrants,1980 to 1990
Val-d'Or,30,15,15,Immigrants,1991 to 2000
Val-d'Or,125,75,55,Immigrants,2001 to 2010
Val-d'Or,465,225,245,Immigrants,2011 to 2021
Val-d'Or,265,165,95,Non-permanent residents,0
Amos,17870,8930,8940,Non-immigrants,0
Amos,235,135,95,Immigrants,0
Amos,30,20,10,Immigrants,Before 1980
Amos,25,10,15,Immigrants,1980 to 1990
Amos,20,20,0,Immigrants,1991 to 2000
Amos,40,30,15,Immigrants,2001 to 2010
Amos,120,60,55,Immigrants,2011 to 2021
Amos,110,65,45,Non-permanent residents,0
Rouyn-Noranda,40110,20220,19890,Non-immigrants,0
Rouyn-Noranda,750,390,360,Immigrants,0
Rouyn-Noranda,120,40,75,Immigrants,Before 1980
Rouyn-Noranda,25,20,10,Immigrants,1980 to 1990
Rouyn-Noranda,45,15,30,Immigrants,1991 to 2000
Rouyn-Noranda,205,115,90,Immigrants,2001 to 2010
Rouyn-Noranda,365,205,160,Immigrants,2011 to 2021
Rouyn-Noranda,425,280,140,Non-permanent residents,0
Cornwall,54655,26820,27830,Non-immigrants,0
Cornwall,4525,2130,2395,Immigrants,0
Cornwall,1415,630,785,Immigrants,Before 1980
Cornwall,395,210,185,Immigrants,1980 to 1990
Cornwall,680,330,355,Immigrants,1991 to 2000
Cornwall,905,430,480,Immigrants,2001 to 2010
Cornwall,1135,540,590,Immigrants,2011 to 2021
Cornwall,570,360,210,Non-permanent residents,0
Hawkesbury,10980,5265,5720,Non-immigrants,0
Hawkesbury,630,290,340,Immigrants,0
Hawkesbury,155,60,95,Immigrants,Before 1980
Hawkesbury,50,35,15,Immigrants,1980 to 1990
Hawkesbury,95,50,45,Immigrants,1991 to 2000
Hawkesbury,135,60,70,Immigrants,2001 to 2010
Hawkesbury,195,80,105,Immigrants,2011 to 2021
Hawkesbury,35,30,0,Non-permanent residents,0
Hawkesbury (Quebec part),1770,875,895,Non-immigrants,0
Hawkesbury (Quebec part),45,20,25,Immigrants,0
Hawkesbury (Quebec part),0,0,0,Immigrants,Before 1980
Hawkesbury (Quebec part),0,0,0,Immigrants,1980 to 1990
Hawkesbury (Quebec part),0,0,0,Immigrants,1991 to 2000
Hawkesbury (Quebec part),35,10,25,Immigrants,2001 to 2010
Hawkesbury (Quebec part),0,0,0,Immigrants,2011 to 2021
Hawkesbury (Quebec part),0,0,0,Non-permanent residents,0
Hawkesbury (Ontario part),9215,4390,4820,Non-immigrants,0
Hawkesbury (Ontario part),585,270,310,Immigrants,0
Hawkesbury (Ontario part),155,60,95,Immigrants,Before 1980
Hawkesbury (Ontario part),50,35,15,Immigrants,1980 to 1990
Hawkesbury (Ontario part),95,50,40,Immigrants,1991 to 2000
Hawkesbury (Ontario part),100,45,50,Immigrants,2001 to 2010
Hawkesbury (Ontario part),185,80,105,Immigrants,2011 to 2021
Hawkesbury (Ontario part),35,30,0,Non-permanent residents,0
Ottawa - Gatineau,1115495,550335,565155,Non-immigrants,0
Ottawa - Gatineau,313845,148710,165135,Immigrants,0
Ottawa - Gatineau,49870,24210,25660,Immigrants,Before 1980
Ottawa - Gatineau,34740,16445,18300,Immigrants,1980 to 1990
Ottawa - Gatineau,60105,28080,32030,Immigrants,1991 to 2000
Ottawa - Gatineau,70535,32250,38285,Immigrants,2001 to 2010
Ottawa - Gatineau,98590,47725,50865,Immigrants,2011 to 2021
Ottawa - Gatineau,35160,18375,16780,Non-permanent residents,0
Ottawa - Gatineau (Quebec part),295560,145670,149885,Non-immigrants,0
Ottawa - Gatineau (Quebec part),46785,22665,24115,Immigrants,0
Ottawa - Gatineau (Quebec part),4125,2175,1950,Immigrants,Before 1980
Ottawa - Gatineau (Quebec part),3895,1950,1940,Immigrants,1980 to 1990
Ottawa - Gatineau (Quebec part),7340,3445,3895,Immigrants,1991 to 2000
Ottawa - Gatineau (Quebec part),13055,6205,6850,Immigrants,2001 to 2010
Ottawa - Gatineau (Quebec part),18370,8885,9480,Immigrants,2011 to 2021
Ottawa - Gatineau (Quebec part),5360,2795,2560,Non-permanent residents,0
Ottawa - Gatineau (Ontario part),819935,404665,415270,Non-immigrants,0
Ottawa - Gatineau (Ontario part),267060,126045,141020,Immigrants,0
Ottawa - Gatineau (Ontario part),45745,22035,23705,Immigrants,Before 1980
Ottawa - Gatineau (Ontario part),30850,14490,16355,Immigrants,1980 to 1990
Ottawa - Gatineau (Ontario part),52770,24630,28140,Immigrants,1991 to 2000
Ottawa - Gatineau (Ontario part),57480,26045,31435,Immigrants,2001 to 2010
Ottawa - Gatineau (Ontario part),80220,38835,41380,Immigrants,2011 to 2021
Ottawa - Gatineau (Ontario part),29800,15580,14225,Non-permanent residents,0
Brockville,27930,13435,14500,Non-immigrants,0
Brockville,2860,1275,1575,Immigrants,0
Brockville,1450,660,790,Immigrants,Before 1980
Brockville,325,135,195,Immigrants,1980 to 1990
Brockville,295,110,190,Immigrants,1991 to 2000
Brockville,355,145,210,Immigrants,2001 to 2010
Brockville,425,230,195,Immigrants,2011 to 2021
Brockville,95,65,30,Non-permanent residents,0
Pembroke,22060,10790,11275,Non-immigrants,0
Pembroke,970,430,535,Immigrants,0
Pembroke,435,215,220,Immigrants,Before 1980
Pembroke,120,50,75,Immigrants,1980 to 1990
Pembroke,145,70,80,Immigrants,1991 to 2000
Pembroke,125,65,65,Immigrants,2001 to 2010
Pembroke,135,40,95,Immigrants,2011 to 2021
Pembroke,50,15,30,Non-permanent residents,0
Petawawa,16125,8540,7590,Non-immigrants,0
Petawawa,1065,455,610,Immigrants,0
Petawawa,210,110,95,Immigrants,Before 1980
Petawawa,110,30,80,Immigrants,1980 to 1990
Petawawa,175,85,95,Immigrants,1991 to 2000
Petawawa,285,120,160,Immigrants,2001 to 2010
Petawawa,285,105,180,Immigrants,2011 to 2021
Petawawa,100,60,45,Non-permanent residents,0
Kingston,144460,70325,74130,Non-immigrants,0
Kingston,20295,9495,10795,Immigrants,0
Kingston,7700,3535,4165,Immigrants,Before 1980
Kingston,2205,1080,1130,Immigrants,1980 to 1990
Kingston,2465,1205,1260,Immigrants,1991 to 2000
Kingston,3475,1655,1820,Immigrants,2001 to 2010
Kingston,4450,2020,2435,Immigrants,2011 to 2021
Kingston,3320,1695,1625,Non-permanent residents,0
Belleville - Quinte West,99070,48920,50145,Non-immigrants,0
Belleville - Quinte West,9065,4360,4705,Immigrants,0
Belleville - Quinte West,3975,1910,2060,Immigrants,Before 1980
Belleville - Quinte West,1000,500,500,Immigrants,1980 to 1990
Belleville - Quinte West,1065,545,525,Immigrants,1991 to 2000
Belleville - Quinte West,1470,700,775,Immigrants,2001 to 2010
Belleville - Quinte West,1555,710,840,Immigrants,2011 to 2021
Belleville - Quinte West,1115,550,570,Non-permanent residents,0
Cobourg,17190,8035,9160,Non-immigrants,0
Cobourg,2550,1195,1345,Immigrants,0
Cobourg,1610,750,860,Immigrants,Before 1980
Cobourg,290,140,150,Immigrants,1980 to 1990
Cobourg,180,100,75,Immigrants,1991 to 2000
Cobourg,170,70,100,Immigrants,2001 to 2010
Cobourg,300,135,165,Immigrants,2011 to 2021
Cobourg,40,15,30,Non-permanent residents,0
Port Hope,15150,7385,7765,Non-immigrants,0
Port Hope,1720,830,885,Immigrants,0
Port Hope,1120,550,570,Immigrants,Before 1980
Port Hope,195,85,105,Immigrants,1980 to 1990
Port Hope,190,110,80,Immigrants,1991 to 2000
Port Hope,150,65,90,Immigrants,2001 to 2010
Port Hope,65,20,40,Immigrants,2011 to 2021
Port Hope,15,10,0,Non-permanent residents,0
Peterborough,113400,54735,58660,Non-immigrants,0
Peterborough,10975,5240,5735,Immigrants,0
Peterborough,4805,2290,2515,Immigrants,Before 1980
Peterborough,1230,590,640,Immigrants,1980 to 1990
